[2025-04-11 15:09:08,650: INFO: app]: ID card type selected: PAN
[2025-04-11 15:09:08,651: INFO: app]: Header set for PAN Card registration.
[2025-04-11 15:09:08,653: INFO: preprocess]: Error reading image: 'NoneType' object has no attribute 'read'
[2025-04-11 15:09:08,654: INFO: app]: Face image loaded.
[2025-04-11 15:09:08,657: ERROR: app]: No face image uploaded.
[2025-04-11 15:09:34,993: INFO: app]: Page layout set to wider configuration.
[2025-04-11 15:09:34,996: INFO: app]: Custom theme applied to Streamlit app.
[2025-04-11 15:09:35,000: INFO: app]: ID card type selected: PAN
[2025-04-11 15:09:35,002: INFO: app]: Header set for PAN Card registration.
[2025-04-11 15:09:35,037: INFO: app]: Face image loaded.
[2025-04-11 15:09:35,069: INFO: app]: ID card image loaded.
[2025-04-11 15:09:35,101: INFO: preprocess]: contours are found at, (0, 0, 1112, 684)
[2025-04-11 15:09:35,116: INFO: app]: ID card ROI extracted.
[2025-04-11 15:09:35,853: INFO: preprocess]: Image saved successfully: data/02_intermediate_data/face_image.jpg
[2025-04-11 15:09:35,853: INFO: app]: Faces extracted and saved.
[2025-04-11 15:09:35,854: INFO: utils]: File is exis for data/02_intermediate_data/face_image.jpg
[2025-04-11 15:09:35,854: INFO: utils]: File is exis for /home/sunny/Desktop/e-KYC_cv/e-kc/eKYC/data/02_intermediate_data/extacted_face.jpg
[2025-04-11 15:09:36,420: INFO: app]: Face verification status: successful.
[2025-04-11 15:09:36,420: INFO: ocr_engine]: Text Extraction Started...
[2025-04-11 15:09:36,427: WARNING: easyocr]: Neither CUDA nor MPS are available - defaulting to CPU. Note: This module is much faster with a GPU.
[2025-04-11 15:09:40,671: INFO: ocr_engine]: Inside Try-Catch...
[2025-04-11 15:09:51,288: INFO: app]: Text extracted and information parsed from ID card.
[2025-04-11 15:13:29,950: INFO: utils]: yaml  file: config.yaml loaded successfully
[2025-04-11 15:13:39,908: INFO: utils]: yaml  file: config.yaml loaded successfully
[2025-04-11 15:13:40,019: INFO: __init__]: package: mysql.connector.plugins
[2025-04-11 15:13:40,019: INFO: __init__]: plugin_name: caching_sha2_password
[2025-04-11 15:13:40,019: INFO: __init__]: AUTHENTICATION_PLUGIN_CLASS: MySQLCachingSHA2PasswordAuthPlugin
[2025-04-11 15:13:40,059: INFO: app]: Page layout set to wider configuration.
[2025-04-11 15:13:40,060: INFO: app]: Custom theme applied to Streamlit app.
[2025-04-11 15:13:40,063: INFO: app]: ID card type selected: PAN
[2025-04-11 15:13:40,065: INFO: app]: Header set for PAN Card registration.
[2025-04-11 15:14:01,958: INFO: app]: Page layout set to wider configuration.
[2025-04-11 15:14:01,960: INFO: app]: Custom theme applied to Streamlit app.
[2025-04-11 15:14:01,964: INFO: app]: ID card type selected: PAN
[2025-04-11 15:14:01,965: INFO: app]: Header set for PAN Card registration.
[2025-04-11 15:14:01,968: INFO: preprocess]: Error reading image: 'NoneType' object has no attribute 'read'
[2025-04-11 15:14:01,969: INFO: app]: Face image loaded.
[2025-04-11 15:14:01,970: ERROR: app]: No face image uploaded.
